Prop_ID,Name,Location,Zip
B173,Fraser Square,"Kings Highway, Ave. M, E. 34 St. to E. 35 St.",11234
B223A,Dimattina Playground,"Rapelye St., Hicks St., Coles St.",11231
B172,Heffernan Triangle,"New Utrecht Ave., 9 Ave., 39 St.",11219
B223B,Dimattina Playground,Hicks St. bet. Woodhull St. and Rapelye St.,11231
B223K,Trinity Park,"Nassau St., Sands St. bet. Manh. Bridge and Gold St.",11201
Q133B,Hempstead Bench Spread,104 Ave. bet. 225 St. and 227 St.,11429
B223I,Anchorage Plaza,"Fulton St., York St., Washington St. and  Prospect St.; Brooklyn Bridge",11201
Q133A,Park,Hempstead Ave. bet. Cross Is. Pkwy. and 225 St.,11429
Q389,Bayside Playground,Beach Channel Dr. bet. Beach 104 St. and Seaside Ave.,11694
Q388,Linnaeus Park,230 St. bet. 57 Ave. and 57 Rd.,11364
Q386,Centreville Playground,Albert Rd. bet. 96 St. and Centerville St.,11417
B169,Coney Island Beach & Boardwalk,"Corbin Pl. to W. 37 St., Boardwalk","11224, 11235"
X073,Young Park,Van Nest Ave. at E. 180 St. and E. Tremont Ave.,10460
B167,La Guardia Playground,S. 4 St. bet. Roebling St. and Williamsburg Bridge Ramp,11211
B168,Continental Army Plaza,S. 4 St. bet. S. 5 Pl. and Roebling St.,11211
B162,Brizzi Playground,"10 Ave., New Utrecht Ave. bet. 43 St. and 42 St.",11219
B161,Underhill Playground,Underhill Ave. bet. Prospect Pl. and Park Pl.,11238
B160,Ketchum Triangle,"Quentin Rd., Kings Hwy., W. 9 St.",11223
B166,Belt Parkway/Shore Parkway,Belt Pkwy. bet. Verrazano Bridge and Cross Bay Blvd.,"11208, 11209, 11214, 11223, 11228, 11234, 11235, 1"
B165,Spring Creek Park,"Fountain Ave., 75 St. bet. Belt Pkwy., Flatlands Ave.,","11208, 11414"
B164,Bath Beach Park,Shore Pkwy. bet. Bay 14 St. and Bay 16 St.,11214
B163,Sperandeo Brothers Playground,"Atlantic Ave., Cleveland St. and Liberty Ave.",11208
Q391,Joseph Austin Playground,164 Pl. bet. Grand Central Pkwy. Sr. Rd. S. and 84 Ave.,11432
Q392,Idlewild Park,"149 Ave., Rockaway Blvd., Jamaica Bay bet. James Brown Pl. and Brookville Blvd.","11413, 11422"
Q390,Clintonville Playground,Clintonville St. bet. 17 Ave. and 17 Rd.,11357
Q395,Steinway Playground,"37 St., 38 St., bet. 20 Rd. and 20 Ave.",11105
Q396,Montbellier Park,"Springfield Blvd., Sloan St. bet. 139 Ave. and Eastgate Plaza",11413
Q394,Conch Playground,Beach 49 St. bet. Elizabeth Ave. and Beach Channel Dr.,11691
Q398,Rosemary's Playground,"Woodbine St., Madison St. bet. Woodward Ave. and Fairview Ave.",11385
Q397,Auburndale Playground,"171 St., 172 St. bet. 33 Ave. and 35 Ave.",11358
Q399,Bay Terrace Playground,23 Ave. bet. 212 St. and Bell Blvd.,11360
B260A,Howard Pool,E. New York Ave. between Mother Gaston Blvd. and St. Mark's Ave.,11212
B156,Powell Playground,Sackman To Powell Sts bet. Glenmore and Pit,11212
B157,Kelly Park,"Ave. S, Morre Pl. bet. E. 16 St. and E. 17 St.",11229
B158,Garibaldi Playground,18 Ave. bet. 83 St. and 82 St.,11214
B159,Mount Prospect Park,"Eastern Pkwy., Flatbush Ave. bet. Underhill Ave. and Washington Ave.",11238
B151,Dome Playground,Dahill Rd. bet. 37 St. and 38 St.,11218
B150,Kolbert Playground,Ave. L bet. E. 17 St. and E. 18 St.,11230
B153,South Pacific Playground,Howard Ave. bet. Pacific St. and Dean St.,11233
B152,Rappaport Playground,Ft. Hamilton Pkwy. bet. 52 St. and 53 St.,11219
B155,Triangle,"New Lots Ave., Dumont Ave., Atkins Ave.",11208
B154,Berry Playground,S. 3 St. bet. Berry St. and Bedford Ave.,11211
B223PB,Rodney Park North,"Rodney St., S. 4 St. and S. 5 St.",11211
B223PA,Rodney Park Center,"Broadway, Rodney St., S. 5 St.",11211
B223PD,Rodney Playground Center,"Rodney St., S. 3 St., Borniquen Pl.",11211
B223PC,Rodney Playground South,"Rodney St., S. 3 St. and S. 4 St.",11211
B223PE,Rodney Playground North,"Borinquen Pl., Rodney St. and S. 1 St.",11211
QZ609,Frank P. Locicero,Hillside Av & 84 Rd (South),null
Q004A,Ralph Demarco Park,Shore Blvd. bet. Ditmars Blvd. and 20 Ave.,11105
Q369,Louis Pasteur Park,248 St. bet. Van Zandt Ave. and 52 Ave.,11362
Q366,Bulova Park,25 Ave. bet. 76 St. and 77 St.,11370
Q367,Hammel Playground,Rockaway Beach Blvd. bet. Beach 84 St. and Beach 81 St.,11693
Q364,Marie Curie Park,"46 Ave., 46 Rd. bet. Oceania St. and 211 St.",11361
Q373,East Elmhurst Playground,"100 St., 98 St. bet. 24 Ave. and 25 Ave.",11369
Q371,Rockaway Community Park,"Almeda Ave., Norton Ave. bet. Beach 58 St., Sommerville Basin and Beach 49 St., Conch Basin","11691, 11692"
Q370,Freedom Square Playground,"Vleigh Pl., Main St. bet. 73 Ter. and 76 Ave.",11367
B192A,Fort Hamilton Athletic Field,83 St. to 85 St. bet. Colonial Rd. and Narrows Ave.,11209
Q379,Briarwood Playground,148 St. bet. 85 Ave. and 85 Rd.,11435
B113E,Walt Whitman Park,"Cadman Plaza East, Adams St. bet. Red Cross Pl. and Tillary St.",11201
B113B,Korean War Veterans Plaza,"Cadman Plaza West, Cadman Plaza East bet. Tillary St. and Johnson St.",11201
